BATTERIKALKYL - Mats ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. BATTERISPECIFIKATIONER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batteristorlek (kWh),15.36,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxeffekt urladdning (kW),10.24,kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxeffekt laddning (kW),10.24,kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laddningseffektivitet (%),95,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urladdningseffektivitet (%),97,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garanterad livslängd (år),10,år,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garanterade cykler,6000,cykler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degradering per år (%),2,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. ARTIKLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Totalkostnad (inkl. installation, moms)","149,850.00 kr",,,Artikelnamn,Pris,,,,,,,,,,,,,,,,,,,,,,,,,
Avdrag för Grön Teknik,48.5,%,Artikel 1,"5,12 kWh – batteriskåp & växelriktare","100,150.00 kr",,,,,,,,,,,,,,,,,,,,,,,,,
Momssats (%),25%,,Artikel 2,"10,24 kWh | 5.12 kWh – tilläggsmodul ","24,850.00 kr",,,,,,,,,,,,,,,,,,,,,,,,,
Fastighetsägare,2,,Artikel 3,"15,36 kWh | 5.12 kWh – tilläggsmodul ","24,850.00 kr",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kostnad efter Avdrag för Grön Teknik,"77,173 kr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kostnad utan moms (företagskund),"119,880.0 kr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. ELFÖRBRUKNING & PRISER,,,,,,,3.1 Förbrukningsfördelning – genom hela året  (kWh),,,,,,,,,,,,,,,,,,,,,,,
Årlig elförbrukning,"20,000",kWh,,,,,Januari,,Februari,,Mars,,April,,Maj,,Juni,,Juli,,Augusti,,September,,Oktober,,November,,December,
Andel förbrukning dagtid (%),60,%,,,,,Köpt,Såld,Köpt,Såld,Köpt,Såld,Köpt,Såld,Köpt,Såld,Köpt,Såld,Köpt,Såld,Köpt,Såld,Köpt,Såld,Köpt,Såld,Köpt,Såld,Köpt,Såld
Andel förbrukning nattetid (%),40,%,,,,,2200,0,2000,0,1200,0,700,600,400,800,400,1800,400,1600,500,600,1400,400,1600,200,1800,20,2000,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotpris dagtid (snitt),1.4,SEK/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotpris nattetid (snitt),0.3,SEK/kWh,,,,,,Summa köpt el  (kWh),,,,,,,Summa såld el  (kWh),,,,,,,,,,,,,,,
Nätavgift + elskatt (fast),0.6,SEK/kWh,,,,,,14600,,,,,,,6020,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. BATTERIANVÄNDNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cykler per dag,1.5,cykler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dagar per år med användning,365,dagar,,,,,3.2 Effektavgifter,,,,,,,,,,,,,,,,,,,,,,,
Genomsnittlig urladdning per cykel (%),85,%,,,,,Nätägare,Vattenfall Eldistribution AB,,,Nuvarande effektavgift (kr/kW),,0.0 kr,,"""Förutspådd"" effektavgift (±25%) (kr/kW)",,81.3 kr,I kalkylen utgår vi från Ellevios effektavgift,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effektiv kapacitet per cykel (kWh),12.66,kWh,,,,,Snittliga effekttoppar – just nu ,,,,,,,,,Snittliga effekttoppar – med batteri,,,,,,,,,,,,,,
Energi från batteri per år (kWh),6933.7152,kWh,,,,,Q1,,Q2,,Q3,,Q4,,,Q1,,Q2,,Q3,,Q4,,,,,,,,
